school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,passed
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,False,True,True,False,True,True,True,False,4,4,4,1,1,5,10,False
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,False,True,False,True,False,True,True,False,4,3,2,2,3,4,2,True
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,False,True,False,True,False,True,True,False,4,3,2,2,3,4,2,True
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,False,True,False,False,True,True,False,False,4,3,4,1,2,2,4,False
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,False,True,False,False,True,True,False,False,4,3,4,1,2,2,4,False
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,False,False,True,True,False,True,True,False,4,4,2,1,1,3,12,True
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,False,False,True,True,False,True,True,False,4,4,2,1,1,3,12,True
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,False,True,True,False,True,True,True,True,4,3,3,1,3,4,0,False
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,False,True,True,False,True,True,True,True,4,3,3,1,3,4,0,False
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,True,True,False,False,True,True,False,False,3,3,3,2,3,2,4,False
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,True,True,False,False,True,True,False,False,3,3,3,2,3,2,4,False
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,False,True,False,True,True,True,True,False,4,3,4,1,1,4,6,True
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,False,True,False,True,True,True,True,False,4,3,4,1,1,4,6,True
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,True,True,False,True,False,True,True,False,3,3,3,1,1,4,2,True
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,True,True,False,True,False,True,True,False,3,3,3,1,1,4,2,True
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,False,False,False,True,False,True,True,False,5,3,4,1,2,1,6,True
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,False,False,False,True,False,True,True,False,5,3,4,1,2,1,6,True
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,True,True,True,True,True,True,True,False,4,5,5,5,5,4,14,False
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,True,True,True,True,True,True,True,False,4,5,5,5,5,4,14,False
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,False,True,False,True,False,True,True,False,5,3,3,1,1,5,4,True
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,False,True,False,True,False,True,True,False,5,3,3,1,1,5,4,True
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,False,True,True,True,True,True,True,False,5,4,4,1,1,1,0,True
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,False,True,True,True,True,True,True,False,5,4,4,1,1,1,0,True
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,True,True,True,False,True,True,True,False,5,1,2,1,1,3,8,False
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,True,True,True,False,True,True,True,False,5,1,2,1,1,3,8,False
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,False,True,True,True,True,True,True,True,1,3,5,3,5,1,6,True
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,False,True,True,True,True,True,True,True,1,3,5,3,5,1,6,True
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,False,False,False,True,True,True,True,False,5,5,3,1,1,4,6,True
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,False,False,False,True,True,True,True,False,5,5,3,1,1,4,6,True
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,True,False,False,True,True,True,True,False,3,1,2,1,1,5,6,True
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,True,False,False,True,True,True,True,False,3,1,2,1,1,5,6,True
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,False,False,False,True,True,True,True,True,5,4,2,1,1,5,8,False
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,False,False,False,True,True,True,True,True,5,4,2,1,1,5,8,False
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,False,True,False,True,True,True,False,False,4,4,3,1,1,2,2,True
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,False,True,False,True,True,True,False,False,4,4,3,1,1,2,2,True
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,False,True,False,True,True,True,True,False,5,2,4,1,4,5,20,False
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,False,True,False,True,True,True,True,False,5,2,4,1,4,5,20,False
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,False,False,False,False,False,True,True,False,3,2,3,1,2,1,2,True
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,False,False,False,False,False,True,True,False,3,2,3,1,2,1,2,True
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,False,True,True,True,True,True,True,True,4,2,2,1,2,5,2,True
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,False,True,True,True,True,True,True,True,4,2,2,1,2,5,2,True
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,False,False,True,False,True,True,True,True,5,4,4,1,1,5,0,False
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,False,False,True,False,True,True,True,True,5,4,4,1,1,5,0,False
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,True,False,False,True,True,True,True,True,5,3,2,1,1,1,0,True
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,True,False,False,True,True,True,True,True,5,3,2,1,1,1,0,True
GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,False,True,False,True,True,True,True,False,3,3,3,1,2,4,0,False
GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,False,True,False,True,True,True,True,False,3,3,3,1,2,4,0,False
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,2,False,True,False,False,True,True,True,True,4,2,2,2,2,5,0,False
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,2,False,True,False,False,True,True,True,True,4,2,2,2,2,5,0,False
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,False,True,False,False,True,True,True,True,3,4,4,1,3,5,12,True
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,False,True,False,False,True,True,True,True,3,4,4,1,3,5,12,True
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,False,True,False,False,True,True,False,True,5,3,3,1,1,5,0,False
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,False,True,False,False,True,True,False,True,5,3,3,1,1,5,0,False
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,False,False,False,False,True,True,False,False,5,4,5,2,4,5,0,False
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,False,False,False,False,True,True,False,False,5,4,5,2,4,5,0,False
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,False,False,False,False,True,True,False,True,4,4,4,1,3,5,0,True
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,False,False,False,False,True,True,False,True,4,4,4,1,3,5,0,True
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,True,True,False,False,True,True,True,False,2,2,2,1,1,3,0,False
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,True,True,False,False,True,True,True,False,2,2,2,1,1,3,0,False
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,False,True,True,True,True,True,True,False,4,2,2,1,1,5,2,True
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,False,True,True,True,True,True,True,False,4,2,2,1,1,5,2,True
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,False,True,False,False,True,True,True,False,5,4,5,1,2,5,0,False
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,False,True,False,False,True,True,True,False,5,4,5,1,2,5,0,False
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,3,False,True,False,False,True,True,True,False,3,3,2,1,1,3,0,False
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,3,False,True,False,False,True,True,True,False,3,3,2,1,1,3,0,False
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,False,True,False,False,True,False,True,True,3,3,2,2,1,5,0,False
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,False,True,False,False,True,False,True,True,3,3,2,2,1,5,0,False
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,3,False,False,False,False,True,False,True,True,2,3,5,2,5,4,0,False
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,3,False,False,False,False,True,False,True,True,2,3,5,2,5,4,0,False
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,False,True,True,True,True,True,True,True,4,2,1,2,3,3,8,True
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,False,True,True,True,True,True,True,True,4,2,1,2,3,3,8,True
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,True,True,False,False,True,True,False,True,4,2,1,1,1,4,0,True
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,True,True,False,False,True,True,False,True,4,2,1,1,1,4,0,True
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,0,False,False,False,False,True,True,False,False,2,2,2,3,3,5,8,True
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,0,False,False,False,False,True,True,False,False,2,2,2,3,3,5,8,True
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,False,False,False,False,False,True,False,False,4,2,2,1,2,3,2,True
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,False,False,False,False,False,True,False,False,4,2,2,1,2,3,2,True
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,2,False,False,False,True,True,False,True,True,3,3,2,2,2,5,0,False
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,2,False,False,False,True,True,False,True,True,3,3,2,2,2,5,0,False
GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,False,False,False,True,True,True,False,False,4,4,4,2,4,5,0,False
GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,False,False,False,True,True,True,False,False,4,4,4,2,4,5,0,False
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,False,False,False,True,True,False,False,True,5,3,5,1,5,5,0,False
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,False,False,False,True,True,False,False,True,5,3,5,1,5,5,0,False
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,False,False,False,False,True,False,True,False,4,3,5,2,4,4,4,True
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,False,False,False,False,True,False,True,False,4,3,5,2,4,4,4,True
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,False,True,True,False,False,True,True,False,5,1,5,1,1,4,0,False
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,False,True,True,False,False,True,True,False,5,1,5,1,1,4,0,False
GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,2,False,True,False,True,False,True,True,False,3,4,5,2,4,2,0,False
GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,2,False,True,False,True,False,True,True,False,3,4,5,2,4,2,0,False
GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,False,True,True,True,True,True,True,False,4,4,4,1,3,5,0,True
GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,False,True,True,True,True,True,True,False,4,4,4,1,3,5,0,True
GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,False,True,True,True,True,True,True,False,4,4,5,1,1,4,4,False
GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,False,True,True,True,True,True,True,False,4,4,5,1,1,4,4,False
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,False,False,True,True,False,True,True,False,3,4,4,1,4,5,2,True
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,False,False,True,True,False,True,True,False,3,4,4,1,4,5,2,True
GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,False,True,False,True,True,True,True,True,4,3,3,3,4,3,10,False
GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,False,True,False,True,True,True,True,True,4,3,3,3,4,3,10,False
GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,False,True,True,True,True,True,True,False,3,4,3,2,3,3,10,False
GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,False,True,True,True,True,True,True,False,3,4,3,2,3,3,10,False
GP,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,0,False,True,False,True,True,True,False,False,5,4,2,2,3,5,0,True
GP,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,0,False,True,False,True,True,True,False,False,5,4,2,2,3,5,0,True
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,False,True,True,False,True,True,True,False,1,2,2,1,2,1,14,True
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,False,True,True,False,True,True,True,False,1,2,2,1,2,1,14,True
GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,False,True,True,True,True,True,True,True,3,3,3,1,2,3,2,True
GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,False,True,True,True,True,True,True,True,3,3,3,1,2,3,2,True
GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,False,True,False,False,False,True,True,True,3,3,3,1,3,3,6,False
GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,False,True,False,False,False,True,True,True,3,3,3,1,3,3,6,False
GP,F,16,U,GT3,T,2,3,services,services,course,mother,1,2,0,False,False,False,False,True,True,True,False,4,3,3,1,1,2,10,True
GP,F,16,U,GT3,T,2,3,services,services,course,mother,1,2,0,False,False,False,False,True,True,True,False,4,3,3,1,1,2,10,True
GP,M,17,U,GT3,T,1,2,at_home,services,other,other,2,2,0,False,False,True,True,False,True,True,False,4,4,4,4,5,5,12,False
GP,M,17,U,GT3,T,1,2,at_home,services,other,other,2,2,0,False,False,True,True,False,True,True,False,4,4,4,4,5,5,12,False
GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,False,False,False,False,True,True,True,False,5,3,3,1,1,3,0,True
GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,False,False,False,False,True,True,True,False,5,3,3,1,1,3,0,True
GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,False,False,False,False,True,True,True,False,5,2,3,1,2,5,4,True
GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,False,False,False,False,True,True,True,False,5,2,3,1,2,5,4,True
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,False,True,False,False,True,True,True,False,4,2,4,2,3,2,24,True
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,False,True,False,False,True,True,True,False,4,2,4,2,3,2,24,True
GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,False,True,False,True,True,True,True,False,4,3,5,1,5,2,2,True
GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,False,True,False,True,True,True,True,False,4,3,5,1,5,2,2,True
GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,False,True,True,False,False,True,False,False,4,4,4,1,3,1,4,True
GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,False,True,True,False,False,True,False,False,4,4,4,1,3,1,4,True
GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,False,True,True,True,False,True,True,False,5,3,5,1,1,5,6,True
